Unnamed: 0,species,observed_on,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,Pres_1,Pres_2,Pres_3,Pres_4,Pres_5,Pres_6,Pres_7,Pres_8,Pres_9,Pres_10,Pres_11,Pres_12,Pres_13,Pres_14,RelHum_1,RelHum_2,RelHum_3,RelHum_4,RelHum_5,RelHum_6,RelHum_7,RelHum_8,RelHum_9,RelHum_10,RelHum_11,RelHum_12,RelHum_13,RelHum_14,SpecHum_1,SpecHum_2,SpecHum_3,SpecHum_4,SpecHum_5,SpecHum_6,SpecHum_7,SpecHum_8,SpecHum_9,SpecHum_10,SpecHum_11,SpecHum_12,SpecHum_13,SpecHum_14,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,Tmax_1,Tmax_2,Tmax_3,Tmax_4,Tmax_5,Tmax_6,Tmax_7,Tmax_8,Tmax_9,Tmax_10,Tmax_11,Tmax_12,Tmax_13,Tmax_14,Tmin_1,Tmin_2,Tmin_3,Tmin_4,Tmin_5,Tmin_6,Tmin_7,Tmin_8,Tmin_9,Tmin_10,Tmin_11,Tmin_12,Tmin_13,Tmin_14,latitude,longitude,geometry,cod_prov,name,cod_ccaa,cartodb_id,created_at,updated_at,longitude_3035,latitude_3035,LC,elevation
8706,Boletus edulis,2020-10-27 12:03:00+01:00,2.9375,0.5,0.875,6.5625,0.75,1.4375,1.0625,0.5,0.375,0.1875,0.8125,1.3125,1.8125,0.75,101223.0,101180.0,101156.0,101228.0,101280.0,101317.0,101280.0,101194.0,101216.0,101233.0,101266.0,101269.0,101354.0,101384.0,85.0625,79.25,78.625,82.5,82.0625,83.3125,80.25,78.9375,78.0625,77.25,81.25,80.375,82.25,81.25,0.0178833,0.017211914,0.017211914,0.01751709,0.0178833,0.018005371,0.01739502,0.016845703,0.016723633,0.016479492,0.017211914,0.017089844,0.01727295,0.01763916,26.0625,26.625,26.75,26.3125,26.75,26.5625,26.5625,26.375,26.4375,26.375,26.25,26.3125,26.125,26.6875,26.6875,26.8125,26.9375,26.8125,27.0,27.1875,27.0625,26.75,26.75,26.625,26.8125,26.5625,26.5,26.9375,25.4375,26.375,26.375,25.5,26.5,25.875,26.125,26.0,26.125,26.0625,25.3125,25.9375,25.375,26.4375,40.8606722222,-3.8915055556,POINT (-3.8915055556 40.8606722222),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.8915055556,40.8606722222,24,1264.0
8714,Boletus edulis,2020-10-28 20:42:57+01:00,2.5,2.9375,0.5,0.875,6.5625,0.75,1.4375,1.0625,0.5,0.375,0.1875,0.8125,1.3125,1.8125,101229.0,101223.0,101180.0,101156.0,101228.0,101280.0,101317.0,101280.0,101194.0,101216.0,101233.0,101266.0,101269.0,101354.0,85.75,85.0625,79.25,78.625,82.5,82.0625,83.3125,80.25,78.9375,78.0625,77.25,81.25,80.375,82.25,0.018127441,0.0178833,0.017211914,0.017211914,0.01751709,0.0178833,0.018005371,0.01739502,0.016845703,0.016723633,0.016479492,0.017211914,0.017089844,0.01727295,26.1875,26.0625,26.625,26.75,26.3125,26.75,26.5625,26.5625,26.375,26.4375,26.375,26.25,26.3125,26.125,26.625,26.6875,26.8125,26.9375,26.8125,27.0,27.1875,27.0625,26.75,26.75,26.625,26.8125,26.5625,26.5,25.9375,25.4375,26.375,26.375,25.5,26.5,25.875,26.125,26.0,26.125,26.0625,25.3125,25.9375,25.375,40.8285448608,-3.8328330964,POINT (-3.8328330964 40.8285448608),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.8328330964,40.8285448608,26,1774.0
8761,Boletus edulis,2020-10-23 18:44:00+02:00,1.3125,1.875,1.125,0.3125,0.125,0.25,0.8125,1.125,1.1875,0.375,0.6875,0.125,0.125,0.0625,101252.0,101294.0,101253.0,101170.0,101194.0,101212.0,101241.0,101243.0,101328.0,101360.0,101209.0,101104.0,101118.0,101186.0,82.5,84.125,80.3125,79.8125,78.125,77.125,81.75,79.875,79.5,81.8125,83.1875,80.3125,77.8125,77.875,0.017944336,0.018066406,0.01739502,0.017028809,0.016784668,0.016418457,0.01727295,0.017028809,0.016967773,0.017700195,0.018066406,0.01727295,0.016540527,0.016418457,26.6875,26.5,26.625,26.375,26.4375,26.375,26.1875,26.3125,26.375,26.625,26.6875,26.5,26.3125,26.1875,27.0,27.125,27.0625,26.6875,26.6875,26.625,26.6875,26.5625,26.8125,26.875,27.0625,26.6875,26.5625,26.5,26.5,25.75,26.0625,26.125,26.0625,26.0,25.375,26.0,25.9375,26.25,26.1875,26.125,25.875,25.8125,41.0036943668,-3.4688504114,POINT (-3.4688504114 41.0036943668),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.4688504114,41.0036943668,24,1541.0
8769,Boletus edulis,2020-10-24 12:48:17+02:00,6.3125,0.8125,1.25,1.5,0.3125,0.1875,0.25,0.875,1.0,1.125,0.5625,1.125,0.1875,0.375,101213.0,101267.0,101307.0,101267.0,101185.0,101207.0,101223.0,101255.0,101259.0,101342.0,101373.0,101222.0,101116.0,101130.0,82.5625,82.3125,83.3125,80.75,79.625,78.0625,76.9375,81.5625,80.5,79.375,81.1875,84.0,80.0,77.875,0.01763916,0.017944336,0.018066406,0.017456055,0.016967773,0.016723633,0.016418457,0.017211914,0.017089844,0.016967773,0.017578125,0.018188477,0.017211914,0.016601562,26.375,26.6875,26.625,26.5625,26.3125,26.4375,26.375,26.1875,26.25,26.375,26.625,26.625,26.5,26.3125,26.6875,27.0,27.1875,27.0625,26.6875,26.6875,26.625,26.6875,26.5625,26.8125,26.9375,27.0625,26.8125,26.625,25.5625,26.5,25.875,26.0,26.0625,26.0625,26.125,25.1875,25.9375,26.0,26.4375,26.1875,26.1875,25.8125,40.904983411,-3.8795306906,POINT (-3.8795306906 40.904983411),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.8795306906,40.904983411,2,1162.0
8859,Boletus edulis,2020-10-15 16:32:59+02:00,0.8125,0.875,0.6875,4.8125,1.4375,0.0,0.125,0.0,0.0,0.0,0.0,0.1875,1.0,0.125,101420.0,101452.0,101332.0,101184.0,101173.0,101237.0,101256.0,101330.0,101364.0,101350.0,101379.0,101425.0,101425.0,101355.0,76.5625,80.9375,85.375,87.125,83.875,78.5,80.0,78.5625,78.4375,81.8125,80.6875,80.75,82.8125,81.8125,0.016235352,0.017211914,0.018371582,0.018371582,0.0178833,0.016662598,0.016845703,0.016296387,0.016113281,0.016540527,0.016418457,0.016357422,0.016662598,0.016723633,26.3125,26.375,26.5,26.125,26.3125,26.3125,26.125,25.9375,25.8125,25.5,25.625,25.5625,25.375,25.625,26.5,26.5,26.75,26.5,26.8125,26.8125,26.5,26.25,26.3125,25.75,26.0625,25.8125,25.5625,25.875,25.9375,26.0,26.375,25.8125,26.0,25.6875,25.8125,25.5,25.25,25.25,25.125,25.25,25.1875,25.375,42.1436945,-8.6920833333,POINT (-8.6920833333 42.1436945),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-8.6920833333,42.1436945,24,443.0
8873,Boletus edulis,2018-11-10 16:00:00+01:00,1.3125,6.3125,8.0,0.25,0.4375,0.25,0.125,0.0,0.125,0.0625,0.0,0.0,0.125,0.6875,101241.0,101232.0,101270.0,101247.0,101178.0,101169.0,101278.0,101233.0,101190.0,101208.0,101175.0,101206.0,101329.0,101454.0,84.25,83.4375,85.875,79.5,78.75,78.0625,77.375,79.875,83.25,77.375,78.1875,81.0,81.375,81.5625,0.0178833,0.0178833,0.017944336,0.01763916,0.017333984,0.016784668,0.016662598,0.017028809,0.01776123,0.016601562,0.016052246,0.016601562,0.016479492,0.016601562,26.25,26.4375,26.0,27.0,26.875,26.5,26.5,26.375,26.3125,26.5,25.75,25.6875,25.5,25.625,26.5625,27.0,26.5625,27.1875,27.0,26.6875,26.75,26.6875,26.5,26.875,26.1875,25.9375,25.8125,25.875,25.875,25.5,25.375,26.75,26.4375,26.375,26.0625,25.9375,26.0625,26.0,25.25,25.4375,25.125,25.25,40.4729995627,-6.0470186536,POINT (-6.0470186536 40.4729995627),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-6.0470186536,40.4729995627,23,734.0
8903,Boletus edulis,2020-10-12 16:58:12+02:00,3.75,1.6875,0.125,0.0625,0.0,0.0625,0.0,0.0,0.125,0.3125,0.125,1.0,1.875,0.1875,101160.0,101155.0,101224.0,101244.0,101312.0,101350.0,101336.0,101366.0,101406.0,101412.0,101340.0,101301.0,101315.0,101349.0,86.625,84.375,78.375,79.625,79.25,78.875,82.9375,80.6875,81.0,81.25,80.75,85.25,82.75,79.125,0.018310547,0.017944336,0.016723633,0.016845703,0.016479492,0.016174316,0.016601562,0.016479492,0.016479492,0.016357422,0.016601562,0.017089844,0.016540527,0.015991211,26.1875,26.3125,26.375,26.1875,25.9375,25.75,25.3125,25.625,25.625,25.4375,25.75,25.3125,25.25,25.5,26.625,26.8125,26.8125,26.5,26.25,26.25,25.5625,26.125,25.875,25.625,25.9375,25.5625,25.5625,25.6875,25.8125,25.875,25.75,25.8125,25.625,25.0625,25.0625,25.125,25.3125,25.25,25.4375,24.8125,24.875,25.25,42.3563355682,-8.3458604895,POINT (-8.3458604895 42.3563355682),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-8.3458604895,42.3563355682,27,849.0
8904,Boletus edulis,2020-10-12 15:48:17+02:00,3.75,1.6875,0.125,0.0625,0.0,0.0625,0.0,0.0,0.125,0.3125,0.125,1.0,1.875,0.1875,101158.0,101152.0,101221.0,101241.0,101309.0,101348.0,101334.0,101364.0,101403.0,101409.0,101338.0,101298.0,101313.0,101347.0,86.625,84.375,78.375,79.625,79.25,78.875,82.875,80.6875,81.0,81.25,80.75,85.25,82.75,79.0625,0.018310547,0.017944336,0.016723633,0.016845703,0.016479492,0.016174316,0.016601562,0.016479492,0.016479492,0.016357422,0.016601562,0.017089844,0.016540527,0.015991211,26.1875,26.3125,26.375,26.1875,25.9375,25.75,25.3125,25.625,25.625,25.4375,25.75,25.3125,25.25,25.5,26.625,26.8125,26.8125,26.5,26.25,26.25,25.5625,26.125,25.875,25.625,25.9375,25.5625,25.5625,25.6875,25.8125,25.875,25.75,25.8125,25.625,25.0625,25.0625,25.125,25.3125,25.25,25.4375,24.8125,24.875,25.25,42.2610853102,-8.3275821388,POINT (-8.3275821388 42.2610853102),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-8.3275821388,42.2610853102,23,609.0
8912,Boletus edulis,2020-10-12 08:34:07+02:00,0.1875,0.375,0.125,0.8125,1.4375,2.0625,0.0,0.6875,1.3125,0.125,0.1875,2.1875,1.0625,0.5,101116.0,101130.0,101197.0,101197.0,101247.0,101282.0,101256.0,101315.0,101351.0,101352.0,101284.0,101237.0,101249.0,101280.0,80.0,77.875,77.6875,82.875,85.4375,81.8125,79.9375,83.875,80.9375,79.875,81.0,86.125,82.0,84.6875,0.017211914,0.016601562,0.016357422,0.01739502,0.0178833,0.017150879,0.016784668,0.017578125,0.016723633,0.016601562,0.016845703,0.01751709,0.016784668,0.017150879,26.5,26.3125,26.1875,26.0625,26.0625,26.0625,26.0625,26.0625,25.8125,25.9375,25.9375,25.5625,25.625,25.4375,26.8125,26.625,26.5,26.375,26.5625,26.3125,26.4375,26.625,26.1875,26.3125,26.1875,26.125,25.9375,25.6875,26.1875,25.8125,25.8125,25.8125,25.125,25.5625,25.75,25.3125,25.5625,25.6875,25.5625,25.0625,24.9375,25.1875,40.9757648537,-3.8191749528,POINT (-3.8191749528 40.9757648537),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.8191749528,40.9757648537,24,1664.0
8943,Boletus edulis,2020-10-10 11:12:36+02:00,0.0625,1.0625,1.1875,2.375,0.0625,0.5,1.8125,0.0,0.0,1.75,0.0625,0.3125,1.0625,1.625,101171.0,101174.0,101217.0,101248.0,101234.0,101288.0,101320.0,101321.0,101259.0,101206.0,101218.0,101254.0,101233.0,101115.0,78.6875,83.6875,85.8125,86.125,81.9375,83.375,82.375,79.625,82.375,86.125,81.75,84.9375,85.5,84.8125,0.016723633,0.017456055,0.018066406,0.01776123,0.017150879,0.01763916,0.016906738,0.016540527,0.017089844,0.017578125,0.016845703,0.017211914,0.01739502,0.017089844,26.25,25.9375,26.125,25.75,26.0,26.1875,25.75,25.9375,25.875,25.625,25.75,25.5,25.5,25.3125,26.5625,26.1875,26.5625,26.3125,26.25,26.4375,26.1875,26.125,26.125,26.125,26.0625,25.8125,25.9375,25.625,25.875,25.8125,25.3125,25.3125,25.8125,25.875,25.1875,25.6875,25.5,25.125,25.375,25.1875,24.9375,24.75,41.892487,-3.2525482,POINT (-3.2525482 41.892487),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.2525482,41.892487,12,1099.0
